video_path,label,identity,dataset,split
E:\FaceForencis++\original\776.mp4,real,776,FFPP_REAL,train
E:\FaceForencis++\original\507.mp4,real,507,FFPP_REAL,train
E:\FaceForencis++\original\895.mp4,real,895,FFPP_REAL,train
E:\FaceForencis++\original\922.mp4,real,922,FFPP_REAL,train
E:\FaceForencis++\original\033.mp4,real,033,FFPP_REAL,train
E:\FaceForencis++\original\483.mp4,real,483,FFPP_REAL,train
E:\FaceForencis++\original\085.mp4,real,085,FFPP_REAL,train
E:\FaceForencis++\original\750.mp4,real,750,FFPP_REAL,train
E:\FaceForencis++\original\354.mp4,real,354,FFPP_REAL,train
E:\FaceForencis++\original\523.mp4,real,523,FFPP_REAL,train
E:\FaceForencis++\original\184.mp4,real,184,FFPP_REAL,val
E:\FaceForencis++\original\809.mp4,real,809,FFPP_REAL,train
E:\FaceForencis++\original\418.mp4,real,418,FFPP_REAL,train
E:\FaceForencis++\original\615.mp4,real,615,FFPP_REAL,train
E:\FaceForencis++\original\682.mp4,real,682,FFPP_REAL,train
E:\FaceForencis++\original\501.mp4,real,501,FFPP_REAL,test
E:\FaceForencis++\original\760.mp4,real,760,FFPP_REAL,train
E:\FaceForencis++\original\049.mp4,real,049,FFPP_REAL,train
E:\FaceForencis++\original\732.mp4,real,732,FFPP_REAL,train
E:\FaceForencis++\original\336.mp4,real,336,FFPP_REAL,train
E:\FaceForencis++\original\450.mp4,real,450,FFPP_REAL,train
E:\FaceForencis++\original\790.mp4,real,790,FFPP_REAL,train
E:\FaceForencis++\original\350.mp4,real,350,FFPP_REAL,train
E:\FaceForencis++\original\467.mp4,real,467,FFPP_REAL,val
E:\FaceForencis++\original\622.mp4,real,622,FFPP_REAL,train
E:\FaceForencis++\original\476.mp4,real,476,FFPP_REAL,train
E:\FaceForencis++\original\614.mp4,real,614,FFPP_REAL,train
E:\FaceForencis++\original\554.mp4,real,554,FFPP_REAL,train
E:\FaceForencis++\original\365.mp4,real,365,FFPP_REAL,train
E:\FaceForencis++\original\770.mp4,real,770,FFPP_REAL,test
E:\FaceForencis++\original\630.mp4,real,630,FFPP_REAL,test
E:\FaceForencis++\original\940.mp4,real,940,FFPP_REAL,val
E:\FaceForencis++\original\797.mp4,real,797,FFPP_REAL,val
E:\FaceForencis++\original\496.mp4,real,496,FFPP_REAL,train
E:\FaceForencis++\original\924.mp4,real,924,FFPP_REAL,train
E:\FaceForencis++\original\369.mp4,real,369,FFPP_REAL,train
E:\FaceForencis++\original\596.mp4,real,596,FFPP_REAL,train
E:\FaceForencis++\original\720.mp4,real,720,FFPP_REAL,train
E:\FaceForencis++\original\053.mp4,real,053,FFPP_REAL,train
E:\FaceForencis++\original\426.mp4,real,426,FFPP_REAL,train
E:\FaceForencis++\original\056.mp4,real,056,FFPP_REAL,train
E:\FaceForencis++\original\264.mp4,real,264,FFPP_REAL,train
E:\FaceForencis++\original\772.mp4,real,772,FFPP_REAL,train
E:\FaceForencis++\original\185.mp4,real,185,FFPP_REAL,val
E:\FaceForencis++\original\466.mp4,real,466,FFPP_REAL,val
E:\FaceForencis++\original\789.mp4,real,789,FFPP_REAL,train
E:\FaceForencis++\original\174.mp4,real,174,FFPP_REAL,train
E:\FaceForencis++\original\150.mp4,real,150,FFPP_REAL,train
E:\FaceForencis++\original\741.mp4,real,741,FFPP_REAL,test
E:\FaceForencis++\original\113.mp4,real,113,FFPP_REAL,test
E:\FaceForencis++\original\428.mp4,real,428,FFPP_REAL,train
E:\FaceForencis++\original\965.mp4,real,965,FFPP_REAL,val
E:\FaceForencis++\original\018.mp4,real,018,FFPP_REAL,train
E:\FaceForencis++\original\189.mp4,real,189,FFPP_REAL,train
E:\FaceForencis++\original\414.mp4,real,414,FFPP_REAL,test
E:\FaceForencis++\original\589.mp4,real,589,FFPP_REAL,train
E:\FaceForencis++\original\666.mp4,real,666,FFPP_REAL,test
E:\FaceForencis++\original\763.mp4,real,763,FFPP_REAL,train
E:\FaceForencis++\original\221.mp4,real,221,FFPP_REAL,val
E:\FaceForencis++\original\586.mp4,real,586,FFPP_REAL,train
E:\FaceForencis++\original\581.mp4,real,581,FFPP_REAL,train
E:\FaceForencis++\original\299.mp4,real,299,FFPP_REAL,train
E:\FaceForencis++\original\638.mp4,real,638,FFPP_REAL,train
E:\FaceForencis++\original\386.mp4,real,386,FFPP_REAL,test
E:\FaceForencis++\original\364.mp4,real,364,FFPP_REAL,train
